,Kingdom,Phylum,Class,Order,Family,Genus,Species
9ae451c767ef5dd10bb7519a98bed491,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__UBA1829,g__UBA1829,s__UBA1829 sp900549045
6150b4bb54695e57d8f37a67aed02bee,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis vadensis
c608560b58974c29e7bef38b2041a1e0,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis vadensis
e70275221aecc40cabc0382587c9a9fe,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis vadensis
4d0850680179e0f07ec1a014dacf0dcc,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis vadensis
224d24ecd91531dc12d167fc49351c57,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__UMGS1518,s__UMGS1518 sp900552575
ade460c944ba3ada1da56b239d2e94b3,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__UMGS1518,s__UMGS1518 sp900552575
dfd6da859fcefb2f99bc15d1dc2917ca,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
5c6aea342d953bf4e18ed1a2e2cf26be,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
aea59308e033ef7bdfee67f99e225a28,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
6011e37de3295ca55e481826fc9a2964,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
f98bbb5df4455ba715e2eb05c1031984,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
390f19eb00417889bfced0f883d8bd16,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
0a776836f5e4efffb2665ff343901c64,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
e086998d6d9835801643b1affc3c31fa,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
ba8fb3386482b7ed125e03ae754b7007,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
9a662acdb9004d309ce96a6d0831013d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
0f488b923d3b3f74fd54b46d2a3161ae,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
98abf228439c7274cdbdfa0251b64e58,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
